KEY,age,hh_head_yn,sex
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,21.87218426020717,no,Female
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,21.470535915225252,no,Female
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,11.585751177643836,no,Male
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,15.204851439028523,no,Male
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,18.5315783772018,no,Female
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,20.105144003869384,no,Male
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,19.165011569195528,no,Male
uuid:c0ce01b5-fae9-489b-b79f-b11930952e83,27.453102800565865,yes,Male
uuid:c0ce01b5-fae9-489b-b79f-b11930952e83,27.072503103009016,no,Female
uuid:71ab96e5-337b-4fa9-b14c-8c0db1c7a484,42.66860109782484,yes,Male
uuid:71ab96e5-337b-4fa9-b14c-8c0db1c7a484,16.890070783114975,no,Female
uuid:71ab96e5-337b-4fa9-b14c-8c0db1c7a484,13.65975440144336,no,Male
uuid:13b12f91-aab9-4029-a713-96bdc35879dd,38.30322489768058,yes,Male
uuid:13b12f91-aab9-4029-a713-96bdc35879dd,37.918897627780545,no,Female
uuid:13b12f91-aab9-4029-a713-96bdc35879dd,5.376055933604081,no,Female
uuid:13b12f91-aab9-4029-a713-96bdc35879dd,1.770498983394607,no,Female
uuid:44812b45-13e1-4969-9b23-16680576a727,28.33187257385584,yes,Female
uuid:44812b45-13e1-4969-9b23-16680576a727,10.656607036297318,no,Male
uuid:44812b45-13e1-4969-9b23-16680576a727,0.09177376185236508,no,Male
uuid:79ffedb8-74f3-4f0b-916e-6241706b1deb,25.29551250504544,yes,Male
uuid:79ffedb8-74f3-4f0b-916e-6241706b1deb,27.12864245517712,no,Female
uuid:79ffedb8-74f3-4f0b-916e-6241706b1deb,2.405667704978084,no,Female
uuid:2f90883b-4e3e-4551-88a6-316423df55da,58.58326894675426,yes,Female
uuid:2f90883b-4e3e-4551-88a6-316423df55da,18.380100983797455,no,Female
uuid:2f90883b-4e3e-4551-88a6-316423df55da,15.139316516123735,no,Male
uuid:85f4b58f-4a79-444f-91ef-ca26fbe97fb6,44.492169642478565,yes,Female
uuid:85f4b58f-4a79-444f-91ef-ca26fbe97fb6,30.828191500297805,no,Female
uuid:85f4b58f-4a79-444f-91ef-ca26fbe97fb6,9.015331654147765,no,Male
uuid:c9df2bee-598a-4efa-bdce-9c2da648c29b,23.991065773135904,yes,Male
uuid:c9df2bee-598a-4efa-bdce-9c2da648c29b,24.1891774529836,no,Female
uuid:c9df2bee-598a-4efa-bdce-9c2da648c29b,2.6825116856491924,no,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,58.9437750136316,yes,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,34.575262606390105,no,Female
uuid:967ab0df-0f63-451c-8b2e-733f55821198,15.157710904417442,no,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,5.413095261133487,no,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,17.164845143053817,no,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,8.914166020150352,no,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,0.4854261858306268,no,Male
uuid:967ab0df-0f63-451c-8b2e-733f55821198,12.397053882300074,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,69.15959861607472,yes,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,35.031344022388915,no,Female
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,23.955833853829212,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,22.370799911445513,no,Female
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,21.993494949607047,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,30.6077340688639,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,16.26602393716743,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,20.21566860389681,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,2.727572237453087,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,18.61263016851113,no,Male
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,7.482517521135357,no,Female
uuid:bc411dde-5566-454c-b34a-e2b7b8b8db91,1.925696938243199,no,Female
